Name,TEAM,ADP,ADP_TREND,PRIMARY_POS,SECONDARY_POS
Nick Collison,OKC,140,0,PF,
Terance Mann,LAC,140,0,SF,
Jeff Ayres,LAC,140,0,PF,
Marial Shayok,Phi,140,0,SG,
Michael Cobbins,OKC,140,0,PF,
Aaron Craft,FA,140,0,SG,
Andrea Bargnani,Bkn,140,0,PF,
Haywood Highsmith,Phi,140,0,SF,
Cole Aldrich,Atl,140,0,C,
Russ Smith,Mem,140,0,PG,
Gian Clavell,Dal,140,0,SG,
Matt Williams Jr.,Mia,140,0,SG,
Xavier Munford,Mil,140,0,SG,
Jordan Adams,Mem,140,0,SG,
Kosta Koufos,Sac,140,0,C,
Isaiah Cousins,Utah,140,0,SG,
Devin Robinson,Tor,140,0,SF,
Jabari Bird,Atl,140,0,SG,
Cameron Payne,Tor,140,0,PG,
Miye Oni,Utah,140,0,SG,
Travis Wear,LAL,140,0,SF,
Shane Larkin,Bos,140,0,PG,
David Michineau,LAC,140,0,SG,
Sam Dekker,Wsh,140,0,PF,
Justin Hamilton,Bkn,140,0,C,
Vander Blue,LAL,140,0,SG,
Cliff Alexander,NO,140,0,PF,
Milton Doyle,Chi,140,0,SG,
Derrick Walton Jr.,LAC,140,0,PG,
Mindaugas Kuzminskas,NY,140,0,PF,
Duje Dukan,Sac,140,0,PF,
Troy Daniels,LAL,140,0,SG,
Josh Magette,Orl,140,0,PG,
Marcus Thornton,Cle,140,0,SG,
Markel Brown,OKC,140,0,SG,
Salah Mejri,Dal,140,0,C,
Hollis Thompson,Sac,140,0,SF,
Billy Garrett Jr.,NY,140,0,SG,
Alfonzo McKinnie,GS,140,0,SF,
Rodney McGruder,LAC,140,0,SG,
Alex Abrines,OKC,140,0,SG,
Jalen McDaniels,Cha,140,0,PF,SF
Dante Cunningham,SA,140,0,PF,SF
Jonathan Gibson,Bos,140,0,PG,
Tony Snell,Det,140,0,SG,
Larry Drew II,Det,140,0,SG,
Walt Lemon Jr.,Ind,140,0,PG,
Keita Bates-Diop,Min,140,0,SF,
Sergio Rodriguez,Phi,140,0,PG,
Michael Carter-Williams,Orl,140,0,PG,
Dimitrios Agravanis,Sac,140,0,PF,
Jawun Evans,OKC,140,0,PG,
David Lee,SA,140,0,PF,
Jeremy Evans,Atl,140,0,SF,
Jonathon Simmons,Wsh,140,0,SF,
Eric Atkins,Utah,140,0,PG,
Georgios Papagiannis,Por,140,0,C,
Ben Bentil,Dal,140,0,PF,
Nazr Mohammed,OKC,140,0,C,
Drew Gordon,Phi,140,0,PF,
Carl Landry,Phi,140,0,PF,
Brandon Jennings,Mil,140,0,PG,
Brandon Sampson,Chi,140,0,SG,
Alex Kirk,Cle,140,0,C,
Troy Caupain,Por,140,0,SG,
London Perrantes,Por,140,0,PG,
George King,Phx,140,0,SF,
Terrence Jones,Hou,140,0,PF,
Chase Budinger,Bkn,140,0,SF,
J.P. Tokoto,NY,140,0,SG,
Chris Andersen,Cle,140,0,C,
Mario Chalmers,Mem,140,0,PG,
Phil Pressey,GS,140,0,PG,
Tyler Hansbrough,Cha,140,0,PF,
Marquis Teague,Mem,140,0,PG,
Matt Costello,SA,140,0,PF,
Wes Iwundu,Orl,140,0,SF,
Adreian Payne,Orl,140,0,PF,
Chris Chiozza,Wsh,140,0,PG,
Marcus Derrickson,Atl,140,0,SF,
Solomon Hill,Mem,140,0,SF,
Brandon Paul,SA,140,0,SG,
Tyler Lydon,Sac,140,0,PF,
DeVaughn Akoon-Purcell,OKC,140,0,SG,
Wayne Ellington,NY,140,0,SG,
Vanja Marinkovic,Sac,140,0,SG,
Wenyen Gabriel,Sac,140,0,PF,
Michael Gbinije,GS,140,0,SG,
James Webb III,Bkn,140,0,PF,
Lavoy Allen,Wsh,140,0,PF,
Alec Peters,Phx,140,0,PF,
Andre Roberson,OKC,140,0,SG,
Rodney Stuckey,Ind,140,0,SG,
Nikola Radicevic,Den,140,0,PG,
Timothe Luwawu-Cabarrot,Cle,140,0,SF,
Coty Clarke,Bos,140,0,PF,
Pierre Jackson,Dal,140,0,PG,
Vlatko Cancar,Den,140,0,SF,
Moritz Wagner,Wsh,140,0,PF,
Sean Kilpatrick,Chi,140,0,SG,
Orlando Johnson,Mil,140,0,SG,
Joe Chealey,Cha,140,0,PG,
Jared Sullinger,Phx,140,0,C,
BJ Johnson,Orl,140,0,SF,
Ray Spalding,Hou,140,0,PF,
Arinze Onuaku,Orl,140,0,PF,
Lance Thomas,Bkn,140,0,PF,
Caleb Swanigan,Sac,140,0,PF,
James Michael McAdoo,Phi,140,0,PF,
Elijah Millsap,Den,140,0,SG,
Patrick Patterson,LAC,140,0,PF,
Alec Brown,FA,140,0,C,
Jemerrio Jones,Wsh,140,0,SF,
James Jones,Cle,140,0,SF,
Jameel Warney,Dal,140,0,PF,
Julian Washburn,GS,140,0,SF,
Kay Felder,Tor,140,0,PG,
Rodney Purvis,Mia,140,0,SG,
Antonius Cleveland,Dal,140,0,SG,
Amile Jefferson,Orl,140,0,PF,
Marcus Thornton,Bkn,140,0,SG,
Chinanu Onuaku,Por,140,0,PF,
Jason Smith,NO,140,0,C,
Dusty Hannahs,Mem,140,0,SG,
Arron Afflalo,Orl,140,0,SG,
Treveon Graham,Min,140,0,SF,
Aaron Harrison,Dal,140,0,SG,
Mike Tobey,Cha,140,0,C,
Sonny Weems,Phi,140,0,SG,
KJ McDaniels,OKC,140,0,SF,
Edy Tavares,Cle,140,0,C,
Jon Leuer,Mil,140,0,PF,
Furkan Aldemir,Phi,140,0,PF,
Joel Berry II,LAL,140,0,PG,
Guerschon Yabusele,Bos,140,0,PF,
Troy Williams,Sac,140,0,SF,
Kevin Hervey,OKC,140,0,SF,
James Anderson,Sac,140,0,SG,
Kendall Marshall,Mil,140,0,PG,
Jamel Artis,LAC,140,0,SG,
Kevin Martin,SA,140,0,SG,
Chris Johnson,Hou,140,0,SF,
Devon Hall,OKC,140,0,PG,
Marquese Chriss,GS,140,0,PF,
Elie Okobo,Phx,140,0,PG,
Mathias Lessort,LAC,140,0,PF,
Al Jefferson,Ind,140,0,C,
Kirk Hinrich,Atl,140,0,SG,
Justin Anderson,Wsh,140,0,SF,
J.J. O'Brien,Mil,140,0,SF,
Torrey Craig,Den,140,0,SF,
Nikola Milutinov,SA,140,0,C,
Andre Dawkins,Bos,140,0,SG,
Tyrone Wallace,Min,140,0,PG,
Willie Reed,Chi,140,0,C,
Cory Jefferson,Phi,140,0,PF,
Josh McRoberts,Dal,140,0,PF,
James Nunnally,Hou,140,0,SG,
Jordan Farmar,Sac,140,0,PG,
Malik Newman,Mia,140,0,SG,
Tony Bradley,Utah,140,0,C,
Will Cherry,GS,140,0,SG,
Lucas Nogueira,Tor,140,0,C,
Khem Birch,Orl,140,0,C,
Myke Henry,OKC,140,0,SF,
Naz Mitrou-Long,Ind,140,0,SG,
Malcolm Delaney,Atl,140,0,PG,
Brandon Bass,LAC,140,0,PF,
Spencer Hawes,Mil,140,0,C,
Joffrey Lauvergne,SA,140,0,C,
Ryan Broekhoff,Dal,140,0,SG,
Damian Jones,Atl,140,0,C,
DeJuan Blair,Phx,140,0,C,
Mirza Teletovic,Mil,140,0,PF,
Wade Baldwin IV,Ind,140,0,PG,
Jerome Robinson,LAC,140,0,SG,
Damien Inglis,NY,140,0,SF,
Tayshaun Prince,Min,140,0,SF,
Mike Muscala,OKC,140,0,C,PF
Omer Asik,Chi,140,0,C,
Anzejs Pasecniks,Phi,140,0,C,
Jason Thompson,Tor,140,0,PF,
Tahjere McCall,Atl,140,0,SG,
Axel Toupane,NO,140,0,SG,
Bobby Brown,Hou,140,0,PG,
Jameer Nelson,Det,140,0,PG,
Brandon Goodwin,Atl,140,0,PG,
Jordan Sibert,Atl,140,0,SG,
Manny Harris,Dal,140,0,SG,
Darrell Arthur,Phx,140,0,PF,
Drew Eubanks,SA,140,0,PF,
Festus Ezeli,Por,140,0,C,
Jared Terrell,Min,140,0,SG,
Xavier Rathan-Mayes,NY,140,0,PG,
Malcolm Miller,Tor,140,0,SF,
Lou Amundson,NY,140,0,PF,
Sergey Karasev,Bkn,140,0,SG,
Alize Johnson,Ind,140,0,PF,
Tim Frazier,Det,140,0,PG,
Andrew Goudelock,Hou,140,0,PG,
Marcus Eriksson,Atl,140,0,SG,
Ian Clark,NO,140,0,SG,
Isaia Cordinier,Atl,140,0,SG,
Petr Cornelie,Den,140,0,PF,
Malachi Richardson,Phi,140,0,SG,
Nigel Hayes,Sac,140,0,SF,
Cady Lalanne,SA,140,0,C,
Johnathan Williams,LAL,140,0,C,
Ramon Sessions,Wsh,140,0,PG,
Chandler Hutchison,Chi,140,0,SF,
Steve Blake,Det,140,0,PG,
Nicolas Laprovittola,SA,140,0,SG,
C.J. Williams,Bkn,140,0,SF,
Olivier Hanlan,SA,140,0,PG,
Ian Mahinmi,Wsh,140,0,C,
Khyri Thomas,Det,140,0,SG,
Christian Wood,Det,140,0,PF,
Jarell Martin,Cle,140,0,PF,
Tony Carr,NO,140,0,PG,
Kevin Seraphin,Ind,140,0,C,
Cleanthony Early,NY,140,0,SF,
Jarrell Brantley,Utah,140,0,PF,
Jaylen Adams,Mil,140,0,PG,
Tyler Dorsey,Mem,140,0,SG,
Wesley Johnson,Wsh,140,0,SF,
Isaiah Hartenstein,Hou,140,0,PF,
MarShon Brooks,Chi,140,0,SG,
Alex Poythress,Atl,140,0,PF,
Cameron Reynolds,Mil,140,0,SG,
John Jenkins,NY,140,0,SG,
Jarred Vanderbilt,Den,140,0,PF,
Jordan Loyd,Tor,140,0,PG,
Mitchell Creek,Min,140,0,SF,
Scott Machado,LAL,140,0,PG,
Emanuel Terry,Mia,140,0,PF,
Jaylen Morris,Mil,140,0,SG,
Trevon Duval,Hou,140,0,PG,
Tyler Cavanaugh,Utah,140,0,PF,
Daryl Macon,Mia,140,0,SG,
Kalin Lucas,Det,140,0,PG,
Justin Patton,OKC,140,0,C,
Yante Maten,Bos,140,0,PF,
Isaac Humphries,Orl,140,0,C,
Zach Lofton,Det,140,0,SG,
Cody Demps,Sac,140,0,PG,
John Holland,Cle,140,0,SG,
Keenan Evans,Det,140,0,SG,
Richard Solomon,OKC,140,0,PF,
Scotty Hopson,OKC,140,0,SG,
Ike Anigbogu,Ind,140,0,C,
Vincent Edwards,Hou,140,0,SF,
Okaro White,Wsh,140,0,PF,
Donte Grantham,LAC,140,0,SF,
Arnoldas Kulboka,Cha,140,0,SF,
Jarell Eddie,Chi,140,0,SF,
Joel Bolomboy,Mil,140,0,PF,
Tyler Ennis,LAL,140,0,PG,
Semaj Christon,OKC,140,0,PG,
Jarnell Stokes,Mem,140,0,PF,
Ognjen Jaramaz,NY,140,0,PG,
Vince Hunter,Mem,140,0,PF,
Keith Appling,Orl,140,0,PG,
Alpha Kaba,Atl,140,0,PF,
Tyler Harvey,Mem,140,0,SG,
Toney Douglas,Cle,140,0,PG,
Jordan Hill,Min,140,0,PF,
Chris Kaman,Por,140,0,C,
Dahntay Jones,Cle,140,0,SG,
Luis Montero,Det,140,0,SG,
Sheldon Mac,Atl,140,0,SG,
Josh Huestis,SA,140,0,SF,
Patrick Christopher,Utah,140,0,SG,
Maurice Ndour,NY,140,0,SF,
Donald Sloan,Den,140,0,PG,
Jabari Brown,Mil,140,0,SG,
Jordan Hamilton,NO,140,0,SG,
Luka Mitrovic,Phi,140,0,SF,
Erick Green,Den,140,0,PG,
Jerrelle Benimon,Utah,140,0,PF,
Xavier Silas,Den,140,0,SG,
Charles Cooke,Mia,140,0,SG,
Brice Johnson,Det,140,0,PF,
Marcus Paige,Cha,140,0,PG,
Julyan Stone,Chi,140,0,SG,
Alan Anderson,LAC,140,0,SF,
Branden Dawson,Orl,140,0,SF,
Jared Cunningham,Mil,140,0,SG,
Brian Roberts,Cha,140,0,PG,
Henry Sims,Utah,140,0,C,
Dakari Johnson,Mem,140,0,C,
Ronnie Price,Phx,140,0,PG,
Devyn Marble,GS,140,0,SG,
Issuf Sanon,Wsh,140,0,PG,
Daniel Ochefu,Wsh,140,0,PF,
Jorge Gutierrez,Den,140,0,PG,
Randy Foye,Bkn,140,0,SG,
Grant Jerrett,Por,140,0,PF,
Mangok Mathiang,Cha,140,0,PF,
Damjan Rudez,Orl,140,0,SF,
AJ Hammons,Mia,140,0,C,
Jacob Pullen,Phi,140,0,PG,
Aaron Brooks,Min,140,0,PG,
Ray McCallum,Det,140,0,PG,
Sasha Kaun,Cle,140,0,C,
Brandon Rush,Por,140,0,SG,
Alex Stepheson,Mem,140,0,PF,
Anthony Brown,Phi,140,0,SF,
Antonio Blakeney,Chi,140,0,SG,
Isaiah Briscoe,Orl,140,0,PG,
Chris Copeland,NO,140,0,SF,
Jalen Jones,Cle,140,0,SF,
Henry Ellenson,Bkn,140,0,PF,
Theo Pinson,Bkn,140,0,SG,
Davon Reed,Mia,140,0,SG,
Thomas Robinson,Atl,140,0,PF,
Daniel Diez,Por,140,0,SG,
Trevon Bluiett,Utah,140,0,SG,
Tyler Davis,OKC,140,0,C,
Nick Johnson,SA,140,0,SG,
Cameron Bairstow,Det,140,0,PF,
Ryan Arcidiacono,Chi,140,0,PG,
Chimezie Metu,SA,140,0,C,
Andrew Nicholson,Bkn,140,0,PF,
Shaquille Harrison,Chi,140,0,SG,PG
JJ Hickson,Wsh,140,0,PF,
Shake Milton,Phi,140,0,PG,
Yogi Ferrell,Sac,140,0,SG,
Justin Wright-Foreman,Utah,140,0,PG,
KZ Okpala,Mia,140,0,SF,
Chasson Randle,Wsh,140,0,PG,
Jordan McRae,Wsh,140,0,SG,
Bruno Fernando,Atl,140,0,PF,
Wayne Selden,Chi,140,0,SG,
Juan Hernangomez,Den,140,0,SF,PF
Jerian Grant,Orl,140,0,PG,
Trey Burke,Phi,140,0,PG,
Keldon Johnson,SA,140,0,SF,SG
Luke Kornet,Chi,140,0,C,PF
Daniel Gafford,Chi,140,0,C,PF
E'Twaun Moore,NO,140,0,SF,SG
Jonas Jerebko,GS,140,0,PF,
Nicolo Melli,NO,140,0,PF,
De'Anthony Melton,Mem,140,0,PG,
Kenrich Williams,NO,140,0,SF,
Courtney Lee,Dal,140,0,SG,
Frank Ntilikina,NY,140,0,PG,
Cheick Diallo,Phx,140,0,PF,C
Reggie Bullock,NY,140,0,SF,
Damyean Dotson,NY,140,0,SG,SF
Thon Maker,Det,140,0,C,PF
Wilson Chandler,Bkn,140,0,SF,PF
Danuel House Jr.,Hou,140,0,SG,
Stanley Johnson,Tor,140,0,SF,
Shabazz Napier,Min,140,0,PG,
Shelvin Mack,Cha,140,0,PG,
Skal Labissiere,Por,140,0,PF,
Daniel Theis,Bos,140,0,C,PF
Lonnie Walker IV,SA,140,0,SG,
Austin Rivers,Hou,140,0.1,SG,
Aron Baynes,Phx,140,0,C,
Bruno Caboclo,Mem,140,0,SF,
Nicolas Claxton,Bkn,140,0,PF,
Jordan Bell,Min,140,0,C,PF
Isaiah Thomas,Wsh,140,0,PG,
Dorian Finney-Smith,Dal,140,0,PF,SF
Ivan Rabb,Mem,140,0,PF,C
Maxi Kleber,Dal,140.1,0,PF,
Cameron Johnson,Phx,140.1,0,SF,
Carsen Edwards,Bos,140.1,0.1,PG,
Mario Hezonja,Por,140.1,0,SF,
Allen Crabbe,Atl,140.1,0,SG,SF
Omari Spellman,GS,140.1,0,PF,
Alec Burks,GS,140.1,0,SG,
Bruce Brown,Det,140.1,0,SG,
DeAndre' Bembry,Atl,140.1,0,SF,
Robert Williams III,Bos,140.1,0,PF,
Mfiondu Kabengele,LAC,140.1,0,PF,
Josh Hart,NO,140.1,-0.1,SG,
Dwayne Bacon,Cha,140.1,-0.1,SG,
Kevon Looney,GS,140.1,-0.1,PF,C
CJ Miles,Wsh,140.1,0,SF,
Anfernee Simons,Por,140.1,0,SG,
Avery Bradley,LAL,140.1,0,SG,
Alex Len,Atl,140.1,-0.2,C,
Jahlil Okafor,NO,140.1,0,C,
Monte Morris,Den,140.1,-0.1,PG,
Malik Beasley,Den,140.1,0,SG,
Dylan Windler,Cle,140.2,0.1,SF,
Jerami Grant,Den,140.2,0,SF,PF
Bryn Forbes,SA,140.2,0,SG,PG
Dion Waiters,Mia,140.2,-0.1,SG,
Royce O'Neale,Utah,140.2,0.1,SF,
Marco Belinelli,SA,140.2,0.1,SG,SF
Nerlens Noel,OKC,140.2,0,C,
Jaxson Hayes,NO,140.2,-0.4,C,
Romeo Langford,Bos,140.2,0.1,SG,
Joakim Noah,Mem,140.3,0.1,C,
Grant Williams,Bos,140.3,0.1,PF,
Anthony Tolliver,Por,140.3,0.2,PF,
Tyson Chandler,Hou,140.3,0.1,C,
Quinn Cook,LAL,140.3,0.1,PG,
Justin Holiday,Ind,140.3,0.1,SG,
Ivica Zubac,LAC,140.3,-0.1,C,
Rodney Hood,Por,140.3,0,SG,SF
Marcin Gortat,LAC,140.3,0.2,C,
Garrett Temple,Bkn,140.3,0.1,SG,SF
Sekou Doumbouya,Det,140.3,0,PF,
Kenneth Faried,Hou,140.3,0.2,PF,
Patty Mills,SA,140.3,0.1,PG,
Cedi Osman,Cle,140.3,-0.3,SF,
Chuma Okeke,Orl,140.3,0.1,PF,
Luka Samanic,SA,140.4,0.1,PF,
Ty Jerome,Phx,140.4,0.1,PG,
PJ Washington,Cha,140.4,0.1,PF,
Goga Bitadze,Ind,140.4,0.1,C,
Frank Kaminsky,Phx,140.4,0.2,C,
OG Anunoby,Tor,140.4,-0.2,SF,
Ante Zizic,Cle,140.4,0.2,C,
Derrick Jones Jr.,Mia,140.4,0.2,SF,
Denzel Valentine,Chi,140.4,0.1,SG,SF
Darius Bazley,OKC,140.4,0,SF,
Pat Connaughton,Mil,140.4,0.1,SG,
Brandon Clarke,Mem,140.4,0.1,PF,
Meyers Leonard,Mia,140.4,0.1,C,
Allonzo Trier,NY,140.4,0.1,SG,
Josh Jackson,Mem,140.4,0,SF,
John Henson,Cle,140.4,0.1,C,
Evan Turner,Atl,140.4,0,SF,SG
Malik Monk,Cha,140.5,0.1,SG,
George Hill,Mil,140.5,0.1,PG,
Ersan Ilyasova,Mil,140.5,0,PF,
Landry Shamet,LAC,140.5,0,SG,
Josh Okogie,Min,140.5,0,SG,
Tyler Johnson,Phx,140.5,0.1,PG,
Maurice Harkless,LAC,140.5,0.1,SF,
Kentavious Caldwell-Pope,LAL,140.5,-0.1,SG,
Emmanuel Mudiay,Utah,140.5,0.1,PG,
Tyus Jones,Mem,140.5,0.1,PG,
Davis Bertans,Wsh,140.5,0.1,PF,
Robin Lopez,Mil,140.5,0,C,
Norman Powell,Tor,140.5,0.1,SG,SF
Trevor Ariza,Sac,140.5,0,SF,
Jae Crowder,Mem,140.5,-0.2,SF,
Jake Layman,Min,140.5,0.1,PF,
Markieff Morris,Det,140.5,0.1,PF,
Michael Kidd-Gilchrist,Cha,140.5,0,SF,PF
Jabari Parker,Atl,140.5,0,PF,
Kris Dunn,Chi,140.5,0.1,PG,
Dillon Brooks,Mem,140.5,0.1,SF,
Gorgui Dieng,Min,140.6,0.1,C,
Elfrid Payton,NY,140.6,-0.1,PG,
JaMychal Green,LAC,140.6,0,PF,
Cory Joseph,Sac,140.6,0,PG,SG
T.J. McConnell,Ind,140.6,0,PG,
Wesley Matthews,Mil,140.6,-0.1,SF,SG
Mikal Bridges,Phx,140.6,0.1,SF,
Jalen Brunson,Dal,140.6,0,PG,
Chris Boucher,Tor,140.7,0,PF,
Rondae Hollis-Jefferson,Tor,140.7,0,SF,PF
Luke Kennard,Det,140.7,0.1,SG,
Kent Bazemore,Por,140.8,0,SG,SF
Willy Hernangomez,Cha,140.8,0,C,
Taj Gibson,NY,140.8,0,PF,
Bismack Biyombo,Cha,140.8,0,C,
Richaun Holmes,Sac,140.8,0,C,
Cody Zeller,Cha,140.8,-0.1,C,
DeMarre Carroll,SA,140.8,0,SF,PF
Aaron Holiday,Ind,140.8,-0.3,PG,
Rodions Kurucs,Bkn,140.8,-0.2,PF,SF
Ed Davis,Utah,140.9,-0.1,PF,
Ish Smith,Wsh,140.9,-0.1,PG,
Harry Giles III,Sac,140.9,-0.1,PF,
Kyle Anderson,Mem,140.9,-0.1,SF,PF
Jakob Poeltl,SA,140.9,-0.1,C,
Trey Lyles,SA,140.9,-0.1,PF,
Marvin Williams,Cha,141,-0.1,PF,
Troy Brown Jr.,Wsh,141,-0.2,SF,